"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"nlp"
"CD56-NK:NLR_post_up"	"hsa03010"	"Ribosome"	"12/28"	"158/8159"	4.25636483337901e-14	3.31996457003563e-12	3.13626882459506e-12	"RPL21/RPS6/RPL35/RPS18/RPS20/RPL13A/RPL27A/RPL23A/RPL10A/RPS3A/RPL4/RPL27"	12	11.5035867189358
"CD56-NK:NLR_post_up"	"hsa05171"	"Coronavirus disease - COVID-19"	"13/28"	"232/8159"	1.45949291936471e-13	5.69202238552236e-12	5.37707917660682e-12	"RPL21/RPS6/RPL35/RPS18/RPS20/RPL13A/RPL27A/RPL23A/RPL10A/STAT1/RPS3A/RPL4/RPL27"	13	11.269453568561
"CD4-Naive:NLR_pre_up"	"hsa03010"	"Ribosome"	"21/139"	"158/8159"	1.60114080126525e-13	3.69863525092273e-11	3.13486514774038e-11	"RPS20/RPL27/RPL27A/RPL13A/RPL23A/RPS27L/RPL21/RPS18/RPL37A/RPS27/RPL35/RPS6/MRPL33/RPS11/RPS25/RPL38/RPL31/MRPL13/RPL23/RPS19/RPL37"	21	10.5037811364447
"CD8-Activated:NLR_post_up"	"hsa03050"	"Proteasome"	"21/531"	"46/8159"	1.23540048569219e-13	3.96563555907195e-11	3.21204126279971e-11	"PSMA4/PSMD4/PSMB8/PSMA5/PSMA7/PSMB7/PSMD11/PSMD8/PSMB3/PSMD13/PSMA3/PSME2/PSMB1/PSMA6/PSMC5/PSMB10/PSMD1/PSMC2/PSMB2/PSMB9/PSMC4"	21	10.4932188842865
"CD4-Activated:NLR_post_up"	"hsa03050"	"Proteasome"	"21/533"	"46/8159"	1.33061379160722e-13	4.20473958147881e-11	3.37555709239305e-11	"PSMB8/PSMD4/PSMA5/PSMB7/PSMA4/PSMB10/PSMD8/PSMD12/PSMB1/PSMD11/PSMD13/POMP/PSMA7/PSMB9/PSMC5/PSMD1/PSMC2/PSMA3/PSME2/IFNG/PSMC4"	21	10.4716545421851
"CD4-Naive:NLR_post_up"	"hsa05012"	"Parkinson disease"	"47/468"	"266/8159"	2.1912196677215e-12	3.34160999327528e-10	2.5487344556129e-10	"CALM1/PSMA5/UBC/PSMA4/CALM2/ATP5F1B/UBB/ATP5PB/PSMD8/NDUFS6/PSMB7/PSMA7/NDUFA6/UBE2L6/PSMC5/COX5A/BAX/SDHC/NDUFA8/SDHB/PSMD11/SLC39A4/PSMB1/NDUFB3/NDUFAB1/KEAP1/GNAI3/NDUFB7/PSMB3/UBE2L3/PSMC2/UQCRC2/EIF2S1/TUBA4A/PSMD4/TUBA1C/NDUFB6/PSMA3/GNAI2/PSMB2/VDAC1/TXN/PSMD13/PSMC6/PSMC4/PSMD14/SLC39A7"	47	9.5936754099091
"CD8-Activated:NLR_pre_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"32/268"	"232/8159"	3.27684555197842e-12	4.48927840621044e-10	3.77699566254355e-10	"RPL5/FAU/RPS7/RPS15A/RPL11/RPS13/RPL10/RPL14/RPL12/RPL30/RELA/RPS8/PIK3R1/RPL26/NFKBIA/RPL18A/RPL8/RPL36AL/RPL19/RPS2/RPL7A/RPL18/RPL6/RPS15/JUN/RPS28/RPS4X/RPS3/RPL36A/RPL29/RPLP0/RPS12"	32	9.42285351391076
"CD16-NK:NLR_post_up"	"hsa03050"	"Proteasome"	"18/402"	"46/8159"	1.58977393354445e-12	4.92829919398779e-10	3.91586421525685e-10	"PSMA4/PSME2/PSMB8/PSMB2/PSMA5/PSMD8/PSMD13/PSMC4/ADRM1/PSMA3/PSMB10/PSMB7/PSMD14/PSMD4/PSMC5/PSMB3/PSMB9/PSMA7"	18	9.40717237600758
"CD4-Naive:NLR_post_up"	"hsa05020"	"Prion disease"	"46/468"	"273/8159"	2.13022349766442e-11	2.1657272226255e-09	1.65185751924154e-09	"RAC2/PSMA5/PSMA4/ATP5F1B/ATP5PB/PSMD8/NDUFS6/PSMB7/PSMA7/NDUFA6/PSMC5/CCL5/COX5A/CYBB/BAX/SDHC/NDUFA8/NCF4/SDHB/PSMD11/PSMB1/NDUFB3/NDUFAB1/NCF2/HSPA1A/CREB3/NDUFB7/PSMB3/PSMC2/UQCRC2/EIF2S1/TNF/TUBA4A/PSMD4/TUBA1C/NDUFB6/CYBA/PSMA3/PSMB2/VDAC1/NCF1/PSMD13/PSMC6/PSMC4/PSMD14/RAC1"	46	8.78202741541501
"CD16-NK:NLR_post_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"36/358"	"232/8159"	2.13450473458943e-11	2.95628905740637e-09	2.59510838784294e-09	"RPS28/RPS21/RPL34/RPL36/FAU/RPS29/RPL39/RPL35A/RPL14/RPL41/RPS15A/RPS14/RPL37/RPL30/RPS10/RPL38/RPL12/RPS27/RPLP2/RPL36A/RPL22/RPL11/TRAF6/RPL36AL/RPL26/RPS7/RPS17/RPL28/RPL37A/NFKBIA/RPS27A/RPS12/MAPK1/RPS15/RPL32/RSL24D1"	36	8.58584449860201
"CD16-NK:NLR_pre_down"	"hsa03010"	"Ribosome"	"24/232"	"158/8159"	1.2425824035329e-11	3.35497248953883e-09	3.24379406395957e-09	"RPL14/RPL11/RPS13/RPL30/FAU/RPL12/RPS12/RPL19/RPL10/RPL18A/RPL5/RPS3/RPS7/RPL8/RPS15/RPS15A/RPL6/RPS14/RPS4X/RPL36AL/RPL32/RPS8/MRPL10/RPLP2"	24	8.48894672527621
"CD4-Naive:NLR_pre_up"	"hsa05171"	"Coronavirus disease - COVID-19"	"22/139"	"232/8159"	4.06483698577066e-11	4.69488671856511e-09	3.97926147028075e-09	"RPS20/RPL27/RPL27A/RPL13A/RPL23A/IKBKE/RPS27L/RPL21/RPS18/RPL37A/RPS27/RPL35/RPS6/RPS11/RPS25/RPL38/STAT1/RPL31/RPL23/RPS19/PRKCB/RPL37"	22	8.40019752318855
"CD4-Activated:NLR_post_up"	"hsa05169"	"Epstein-Barr virus infection"	"41/533"	"202/8159"	3.85286467935929e-11	6.08752619338768e-09	4.88705467223994e-09	"HLA-DRB5/BID/TRADD/IKBKE/PSMD4/IKBKG/MAP2K3/BAX/NFKB2/HLA-DRB1/PSMD8/OAS2/FAS/PSMD12/TBK1/PSMD11/TRAF3/DDB2/IFNAR2/MYD88/PSMD13/TNF/STAT2/HLA-DQB1/PSMC5/HLA-DRA/PSMD1/HLA-DMA/CCND2/HLA-DPA1/PSMC2/TRAF5/TAP1/STAT1/OAS1/SAP30/RIPK1/ICAM1/OAS3/DDX58/PSMC4"	41	8.3109528024248
"CD16-NK:NLR_post_up"	"hsa05169"	"Epstein-Barr virus infection"	"34/402"	"202/8159"	1.91834959101271e-10	2.9734418660697e-08	2.36259896998407e-08	"OAS2/HLA-DQB1/HLA-DMA/E2F3/PSMD8/TAP1/HDAC1/PSMD13/STAT1/PDIA3/CDK6/HLA-DQA1/HLA-DMB/PSMC4/HLA-DRB1/HLA-DRB5/CALR/ADRM1/BAX/PSMD14/PSMD4/HLA-DRA/PSMC5/CCND2/CD3D/IFNAR2/TRAF5/HLA-A/IKBKG/STAT2/SYK/OAS1/MDM2/ICAM1"	34	7.62660998971069
"CD8-Activated:NLR_post_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"30/277"	"232/8159"	1.95024324903738e-10	2.69133568367159e-08	2.47372959483163e-08	"RPS21/RPS28/RPS29/RPS15A/RPL36/RPL37/RPS10/RPL34/FAU/RPL35A/RPL36A/RPL12/RPL39/RPL26/RPL37A/RPS27/RPL41/RPL38/RPS7/RPS17/RSL24D1/RPL30/PIK3R1/RPLP2/RPL28/RPL14/RPS14/NFKBIB/RPS8/RPL36AL"	30	7.60664777515587
"CD8-Activated:NLR_post_up"	"hsa05012"	"Parkinson disease"	"46/531"	"266/8159"	6.23225032923474e-10	1.00027617784218e-07	8.10192542800516e-08	"PSMA4/ATP5PB/PSMD4/ATP5F1B/PSMA5/SLC39A4/UBE2L3/LRRK2/GNAI3/PSMA7/PSMB7/PSMD11/SDHB/UQCRC2/CALM2/PSMD8/NDUFB5/PSMB3/PSMD13/PSMA3/NDUFA12/ATP5F1A/SLC39A1/NDUFA8/SDHC/NDUFS6/PSMB1/PSMA6/NDUFB3/PSMC5/BCL2L1/NDUFB6/UBE2L6/CALM1/UBC/BAX/NDUFA4/UBB/NDUFS2/PSMD1/PSMC2/MCU/PSMB2/NDUFS5/PSMC4/NDUFV2"	46	7.09141175848086
"CD4-Naive:NLR_post_up"	"hsa05014"	"Amyotrophic lateral sclerosis"	"51/468"	"364/8159"	1.630590091387e-09	1.24332494468259e-07	9.48316868938231e-08	"PFN1/OPTN/PSMA5/CASP1/PSMA4/ANXA7/ATP5F1B/ACTB/ATP5PB/PSMD8/ACTG1/NDUFS6/PSMB7/PSMA7/NDUFA6/PSMC5/COX5A/BAX/SDHC/NDUFA8/SDHB/PSMD11/PSMB1/NDUFB3/NDUFAB1/TANK/RAB8A/NDUFB7/PSMB3/PSMC2/BID/UQCRC2/EIF2S1/TNF/TNFRSF1B/SRSF3/TUBA4A/PSMD4/TUBA1C/NDUFB6/PSMA3/PSMB2/VDAC1/GPX7/MAP2K3/PSMD13/PSMC6/PSMC4/PSMD14/RAC1/CHMP2B"	51	7.0230465240146
"CD8-Naive:NLR_pre_up"	"hsa03010"	"Ribosome"	"16/116"	"158/8159"	5.98210282430589e-10	1.29811631287438e-07	1.05159070700956e-07	"RPL23A/RPL27/RPL27A/RPL35/RPL13A/RPS27/RPS20/RPL21/RPS18/UBA52/RPL37A/RPL38/RPS6/RPS25/RPS11/RPL41"	16	6.97815326044348
"CD4-Naive:NLR_post_up"	"hsa05169"	"Epstein-Barr virus infection"	"35/468"	"202/8159"	2.81207171555785e-09	1.71536374649029e-07	1.30835336660692e-07	"TRADD/B2M/HLA-DRB5/HLA-DRB1/PSMD8/CALR/PSMC5/HLA-DQB1/BAX/HLA-DRA/FAS/PSMD11/OAS2/CD58/IKBKE/CDK4/STAT1/IKBKG/HLA-DPA1/PSMC2/BID/OAS1/TNF/TRAF5/PSMD4/MAP2K3/DDB2/HLA-DMB/PSMD13/PSMC6/PSMC4/LYN/PSMD14/RAC1/CCND2"	35	6.88327494374777
"CD4-Activated:NLR_post_up"	"hsa05164"	"Influenza A"	"34/533"	"171/8159"	3.34753040703668e-09	3.52606536207864e-07	2.83071869507312e-07	"HLA-DRB5/BID/CASP1/TRADD/IKBKE/IKBKG/BAX/TNFSF10/HLA-DRB1/OAS2/FAS/TBK1/FDPS/TRAF3/PYCARD/IFNAR2/MYD88/TNF/STAT2/HLA-DQB1/HLA-DRA/ACTG1/HLA-DMA/RAB11A/HLA-DPA1/STAT1/OAS1/IFIH1/ACTB/ICAM1/IFNG/TICAM1/OAS3/DDX58"	34	6.54810328685094
"CD8-Naive:NLR_pre_up"	"hsa05171"	"Coronavirus disease - COVID-19"	"18/116"	"232/8159"	3.61474277164119e-09	3.92199590723069e-07	3.17716864665304e-07	"RPL23A/RPL27/RPL27A/RPL35/RPL13A/RPS27/RPS20/RPL21/RPS18/UBA52/RPL37A/STAT1/TAB2/RPL38/RPS6/RPS25/RPS11/RPL41"	18	6.49795973186253
"CD4-Activated:NLR_post_down"	"hsa03010"	"Ribosome"	"31/481"	"158/8159"	2.01524993265291e-09	5.98529229997915e-07	5.40935508238414e-07	"RPS28/RPS21/RPS15A/RPL34/RPL36/RPL37/RPL39/RPS10/RPL35A/RPS29/FAU/RPS8/RPL5/RPL36A/RPLP0/RPS13/RPL37A/RPL12/RPL26/RPL38/RPS17/MRPL23/MRPL9/RPL30/RPL14/RSL24D1/RPL10/RPL11/RPL18/RPS27/RPS14"	31	6.26685450954359
"CD16-NK:NLR_post_up"	"hsa05012"	"Parkinson disease"	"37/402"	"266/8159"	7.37719756854402e-09	7.62310415416215e-07	6.05706747733088e-07	"PSMA4/ATP5F1B/PSMB2/PSMA5/SDHC/ATP5PB/PSMD8/PSMD13/UQCRC2/PSMC4/NDUFS2/BCL2L1/UBE2L6/CALM1/NDUFB3/ADRM1/PSMA3/PSMB7/CALM2/BAX/PSMD14/SDHB/PSMD4/PSMC5/XBP1/NDUFS6/KEAP1/PSMB3/ATP5F1C/SLC25A5/NDUFB5/NDUFAB1/PSMA7/VDAC1/GNAI3/TUBB/TUBA1B"	37	6.21773758815456
"CD4-Naive:NLR_post_up"	"hsa05132"	"Salmonella infection"	"38/468"	"249/8159"	2.2119591619885e-08	1.12441257401082e-06	8.57619254034138e-07	"PFN1/ANXA2/TRADD/MYL12A/DYNLRB1/CASP1/MYL12B/ACTB/PYCARD/GAPDH/ACTG1/ARPC2/DYNLL1/ARPC3/TNFSF10/BAX/BRK1/RALA/CASP4/VPS41/GSDMD/RHOG/IKBKG/ARPC5/ACTR3/NAIP/S100A10/RHOA/TNF/TUBA4A/FOS/ARF6/TUBA1C/RHOB/MAP2K3/TXN/FLNA/RAC1"	38	6.06670547738671
"CD8-Naive:NLR_post_up"	"hsa05131"	"Shigellosis"	"21/154"	"247/8159"	6.09909897455312e-09	1.50647744671462e-06	1.09783781541956e-06	"TRADD/CCL5/UBC/PFN1/MYL12A/MYL12B/CAPN2/CAST/ITGB1/ARPC3/RBX1/TNIP1/HCLS1/RRAGC/ACTB/ARPC2/CASP1/ARPC5/PLCB1/TRAF5/ILK"	21	5.95946181386667
"CD16-NK:NLR_post_up"	"hsa05014"	"Amyotrophic lateral sclerosis"	"44/402"	"364/8159"	2.13656895871211e-08	1.65584094300189e-06	1.31567667457536e-06	"PSMA4/ATP5F1B/ACTG1/PSMB2/PSMA5/SDHC/CASP1/ATP5PB/ACTB/SIGMAR1/PSMD8/PSMD13/UQCRC2/PSMC4/NDUFS2/WIPI1/BCL2L1/PFN1/TNFRSF1A/NDUFB3/ADRM1/PSMA3/PSMB7/SEC13/BAX/PSMD14/HNRNPA2B1/SDHB/PSMD4/PSMC5/TOMM40L/XBP1/NDUFS6/PSMB3/RAB8A/ATP5F1C/HNRNPA1/NDUFB5/NDUFAB1/PSMA7/VDAC1/TUBB/ULK2/TUBA1B"	44	5.88085082477995
"CD16-NK:NLR_post_up"	"hsa04612"	"Antigen processing and presentation"	"18/402"	"78/8159"	2.78112918225743e-08	1.72430009299961e-06	1.37007206031208e-06	"PSME2/HLA-DQB1/HLA-DMA/CTSS/TAP1/HSP90AA1/PDIA3/HLA-DQA1/HLA-DMB/CANX/HLA-DRB1/HLA-DRB5/RFX5/CALR/HLA-DRA/HSPA1A/HLA-A/HSP90AB1"	18	5.86325659008966
"CD4-Naive:NLR_post_up"	"hsa05131"	"Shigellosis"	"37/468"	"247/8159"	5.63256090700374e-08	2.45418725233734e-06	1.87187362473357e-06	"PFN1/TRADD/MYL12A/CASP1/UBC/MYL12B/UBB/ACTB/PYCARD/ACTG1/ARPC2/ACTN4/ARPC3/RBX1/TNIP1/CCL5/BAX/CAST/ILK/CASP4/PLCB1/IKBKG/RRAGC/ARPC5/TLN1/HCLS1/ACTR3/NAIP/RHOA/TNF/TRAF5/ARF6/CGAS/HK1/VDAC1/CAPN2/RAC1"	37	5.72772347500684
"CD8-Activated:NLR_post_up"	"hsa05020"	"Prion disease"	"43/531"	"273/8159"	4.15295463361817e-08	4.44366145797144e-06	3.59922734913575e-06	"CYBB/PSMA4/ATP5PB/PSMD4/ATP5F1B/PSMA5/NCF2/PSMA7/NCAM1/RAC2/PSMB7/PSMD11/SDHB/UQCRC2/PSMD8/NDUFB5/PSMB3/PSMD13/PSMA3/NDUFA12/ATP5F1A/NDUFA8/CYBA/SDHC/NDUFS6/PSMB1/PSMA6/NDUFB3/PSMC5/NDUFB6/CREB3L2/HSPA1A/BAX/NDUFA4/NDUFS2/PSMD1/PSMC2/MCU/PSMB2/EGR1/NDUFS5/PSMC4/NDUFV2"	43	5.44379071979425
"CD16-NK:NLR_pre_down"	"hsa05171"	"Coronavirus disease - COVID-19"	"24/232"	"232/8159"	3.58276046977577e-08	4.83672663419729e-06	4.67644524475996e-06	"RPL14/RPL11/RPS13/RPL30/FAU/RPL12/RPS12/RPL19/RPL10/RPL18A/RPL5/RPS3/RPS7/RPL8/RPS15/RPS15A/RPL6/RPS14/RPS4X/RPL36AL/RPL32/RPS8/TNF/RPLP2"	24	5.33008414632611
"CD4-Naive:NLR_post_up"	"hsa04210"	"Apoptosis"	"25/468"	"136/8159"	1.691044526671e-07	6.44710725793317e-06	4.91737947887224e-06	"TRADD/CTSS/ACTB/ACTG1/TNFSF10/CTSW/BAX/FAS/CTSH/IKBKG/CTSC/CTSZ/BID/PARP3/EIF2S1/CTSB/TNF/TUBA4A/FOS/TUBA1C/CAPN2/CFLAR/PARP1/PTPN13/CASP2"	25	5.30826627549651
"CD8-Activated:NLR_post_up"	"hsa05014"	"Amyotrophic lateral sclerosis"	"51/531"	"364/8159"	1.13487788120162e-07	9.10739499664299e-06	7.37670622781052e-06	"PSMA4/ATP5PB/PSMD4/ACTG1/ATP5F1B/PSMA5/PSMA7/PSMB7/HNRNPA2B1/BCL2/PSMD11/ACTB/SDHB/UQCRC2/PSMD8/NDUFB5/GPX7/PSMB3/PSMD13/PSMA3/NDUFA12/ATP5F1A/NDUFA8/SDHC/SETX/SRSF3/NDUFS6/PSMB1/PSMA6/NDUFB3/NUP43/PSMC5/BCL2L1/RAB8A/NDUFB6/CAT/GLE1/CASP1/BAX/NDUFA4/TANK/NDUFS2/BID/PSMD1/PSMC2/MCU/PSMB2/NDUFS5/NUP50/PSMC4/NDUFV2"	51	5.1321375116726
"CD4-Naive:NLR_post_up"	"hsa05022"	"Pathways of neurodegeneration - multiple diseases"	"55/468"	"476/8159"	3.40479334716572e-07	1.15384663431727e-05	8.8006939148962e-06	"CALM1/OPTN/PSMA5/UBC/PSMA4/CALM2/ATP5F1B/UBB/ATP5PB/PSMD8/NDUFS6/PSMB7/PSMA7/NDUFA6/UBE2L6/PSMC5/COX5A/CYBB/BAX/SDHC/FAS/NDUFA8/SDHB/PSMD11/PSMB1/NDUFB3/NDUFAB1/PLCB1/TANK/RAB8A/NDUFB7/PSMB3/UBE2L3/PSMC2/BID/UQCRC2/EIF2S1/TNF/TNFRSF1B/TUBA4A/PSMD4/TUBA1C/NDUFB6/PSMA3/PSMB2/VDAC1/GPX7/MAP2K3/CAPN2/PSMD13/PSMC6/PSMC4/PSMD14/RAC1/CHMP2B"	55	5.05548308335789
"CD16-NK:NLR_post_up"	"hsa05164"	"Influenza A"	"26/402"	"171/8159"	2.35332202131364e-07	1.21588304434538e-05	9.66100619276126e-06	"ACTG1/TNFSF10/OAS2/PYCARD/CASP1/HLA-DQB1/HLA-DMA/ACTB/STAT1/CDK6/HLA-DQA1/HLA-DMB/HLA-DRB1/TNFRSF1A/HLA-DRB5/BAX/HLA-DRA/IFNAR2/PRKCA/SLC25A5/IKBKG/STAT2/VDAC1/JAK2/OAS1/ICAM1"	26	5.01497763950508
"CD4-Naive:NLR_post_up"	"hsa04145"	"Phagosome"	"26/468"	"152/8159"	4.21040641393661e-07	1.28417395625067e-05	9.79473492084201e-06	"HLA-DRB5/CTSS/ACTB/HLA-DRB1/ACTG1/CALR/HLA-DQB1/FCGR3A/CYBB/HLA-DRA/NCF4/ATP6V1F/NCF2/HLA-DPA1/ATP6V0E1/ATP6V0D1/ATP6V1E1/TUBA4A/ITGAM/TUBA1C/CYBA/CORO1A/NCF1/HLA-DMB/ATP6V0B/RAC1"	26	5.00900731301007
"CD4-Naive:NLR_post_up"	"hsa05010"	"Alzheimer disease"	"47/468"	"384/8159"	4.98583368714494e-07	1.38243570416292e-05	1.05442033000864e-05	"CALM1/PSMA5/PSMA4/CALM2/ATP5F1B/ATP5PB/PSMD8/GAPDH/NDUFS6/PSMB7/PSMA7/NDUFA6/PSMC5/COX5A/CYBB/SDHC/FAS/NDUFA8/SDHB/PSMD11/SLC39A4/PSMB1/NDUFB3/NDUFAB1/PLCB1/IKBKG/NDUFB7/PSMB3/PSMC2/BID/UQCRC2/EIF2S1/TNF/TUBA4A/PSMD4/TUBA1C/NDUFB6/RTN4/PSMA3/PSMB2/VDAC1/CAPN2/PSMD13/PSMC6/PSMC4/PSMD14/SLC39A7"	47	4.97698622914853
"CD4-Naive:NLR_post_up"	"hsa04621"	"NOD-like receptor signaling pathway"	"29/468"	"184/8159"	5.45378379927633e-07	1.38617004898273e-05	1.05726861371936e-05	"CASP1/GBP2/PYCARD/PSTPIP1/GBP5/CCL5/CYBB/GBP4/OAS2/IKBKE/CARD16/CASP4/GBP1/GSDMD/PLCB1/STAT1/IKBKG/TANK/NAIP/OAS1/RHOA/CTSB/TNF/TRAF5/CARD8/CYBA/GBP3/VDAC1/TXN"	29	4.97581466015179
