Cluster	cellType	group	Pathway	nlp	GeneRatio
CD4-Naive:NLR:Oxytocin signaling pathway	CD4-Naive	NLR	Oxytocin signaling pathway	1.88510377293695	0.0857142857142857
CD4-Naive:NLR:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD4-Naive	NLR	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.965830292724175	0.0428571428571429
CD4-Naive:NLR:Phagosome	CD4-Naive	NLR	Phagosome	3.48923917860352	0.128571428571429
CD4-Naive:NLR:Protein export	CD4-Naive	NLR	Protein export	2.06638650523345	0.0428571428571429
CD4-Naive:NLR:Protein processing in endoplasmic reticulum	CD4-Naive	NLR	Protein processing in endoplasmic reticulum	2.21285390033591	0.1
CD4-Naive:NLR:Ribosome	CD4-Naive	NLR	Ribosome	-7.45338708114012	-0.191176470588235
CD4-Naive:NLR:T cell receptor signaling pathway	CD4-Naive	NLR	T cell receptor signaling pathway	1.29124656556456	0.0571428571428571
CD4-Naive:NLR:Tight junction	CD4-Naive	NLR	Tight junction	1.21446614716444	0.0714285714285714
CD4-Naive:NR:Ribosome	CD4-Naive	NR	Ribosome	-21.2432925756013	-0.4
CD56-NK:LR:Cytosolic DNA-sensing pathway	CD56-NK	LR	Cytosolic DNA-sensing pathway	1.49681739265357	0.222222222222222
CD56-NK:LR:Ribosome	CD56-NK	LR	Ribosome	9.12397568102428	0.777777777777778
CD56-NK:NLR:Focal adhesion	CD56-NK	NLR	Focal adhesion	1.0464056372684	0.25
CD56-NK:NLR:Leukocyte transendothelial migration	CD56-NK	NLR	Leukocyte transendothelial migration	1.0464056372684	0.25
CD56-NK:NLR:Oxidative phosphorylation	CD56-NK	NLR	Oxidative phosphorylation	-1.46540331125399	-0.222222222222222
CD56-NK:NLR:Oxytocin signaling pathway	CD56-NK	NLR	Oxytocin signaling pathway	1.0464056372684	0.25
CD56-NK:NLR:Phagosome	CD56-NK	NLR	Phagosome	1.0464056372684	0.25
CD56-NK:NLR:Regulation of actin cytoskeleton	CD56-NK	NLR	Regulation of actin cytoskeleton	1.0464056372684	0.25
CD56-NK:NLR:Ribosome	CD56-NK	NLR	Ribosome	-5.22917434607405	-0.555555555555556
CD56-NK:NLR:Tight junction	CD56-NK	NLR	Tight junction	1.0464056372684	0.25
CD56-NK:NR:Ribosome	CD56-NK	NR	Ribosome	1.70368359523044	0.5
CD8-Activated:LR:Ribosome	CD8-Activated	LR	Ribosome	2.16796734903699	0.157894736842105
CD8-Activated:NLR:Antigen processing and presentation	CD8-Activated	NLR	Antigen processing and presentation	2.50353417410171	0.0542635658914729
CD8-Activated:NLR:Cellular senescence	CD8-Activated	NLR	Cellular senescence	0.700079840339909	0.0387596899224806
CD8-Activated:NLR:GABAergic synapse	CD8-Activated	NLR	GABAergic synapse	-1.4712083480166	-0.0847457627118644
CD8-Activated:NLR:Glutamatergic synapse	CD8-Activated	NLR	Glutamatergic synapse	-2.5942455719121	-0.11864406779661
CD8-Activated:NLR:Glycolysis / Gluconeogenesis	CD8-Activated	NLR	Glycolysis / Gluconeogenesis	2.83612585532339	0.0542635658914729
CD8-Activated:NLR:Oxytocin signaling pathway	CD8-Activated	NLR	Oxytocin signaling pathway	0.702865586739972	0.0387596899224806
CD8-Activated:NLR:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD8-Activated	NLR	PD-L1 expression and PD-1 checkpoint pathway in cancer	2.33899855995157	0.0542635658914729
CD8-Activated:NLR:Phagosome	CD8-Activated	NLR	Phagosome	1.36236000006808	0.0542635658914729
CD8-Activated:NLR:Protein processing in endoplasmic reticulum	CD8-Activated	NLR	Protein processing in endoplasmic reticulum	0.837607121100739	0.0465116279069767
CD8-Activated:NLR:Ribosome	CD8-Activated	NLR	Ribosome	25.668501635312	0.255813953488372
CD8-Activated:NLR:T cell receptor signaling pathway	CD8-Activated	NLR	T cell receptor signaling pathway	3.084059441001	0.0697674418604651
CD8-Activated:NLR:Tight junction	CD8-Activated	NLR	Tight junction	1.16327472390562	0.0542635658914729
CD8-Activated:NR:Ribosome	CD8-Activated	NR	Ribosome	-27.2273587195395	-0.480769230769231
CD8-Naive:LR:Cellular senescence	CD8-Naive	LR	Cellular senescence	-0.743545818906048	-0.181818181818182
CD8-Naive:LR:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD8-Naive	LR	PD-L1 expression and PD-1 checkpoint pathway in cancer	-0.69917000474103	-0.0909090909090909
CD8-Naive:LR:Ribosome	CD8-Naive	LR	Ribosome	12.1702870870776	0.625
CD8-Naive:LR:T cell receptor signaling pathway	CD8-Naive	LR	T cell receptor signaling pathway	-0.69917000474103	-0.0909090909090909
CD8-Naive:NLR:Antigen processing and presentation	CD8-Naive	NLR	Antigen processing and presentation	1.06103723396783	0.0909090909090909
CD8-Naive:NLR:Cell adhesion molecules	CD8-Naive	NLR	Cell adhesion molecules	0.909584828165006	0.0909090909090909
CD8-Naive:NLR:Cellular senescence	CD8-Naive	NLR	Cellular senescence	1.57353590081964	0.181818181818182
CD8-Naive:NLR:Endocytosis	CD8-Naive	NLR	Endocytosis	0.77226644837869	0.0909090909090909
CD8-Naive:NLR:Focal adhesion	CD8-Naive	NLR	Focal adhesion	0.834026062012461	0.0909090909090909
CD8-Naive:NLR:Oxidative phosphorylation	CD8-Naive	NLR	Oxidative phosphorylation	-3.9334057624677	-0.4
CD8-Naive:NLR:Oxytocin signaling pathway	CD8-Naive	NLR	Oxytocin signaling pathway	1.70629301258703	0.272727272727273
CD8-Naive:NLR:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD8-Naive	NLR	PD-L1 expression and PD-1 checkpoint pathway in cancer	1.70629301258703	0.181818181818182
CD8-Naive:NLR:Phagosome	CD8-Naive	NLR	Phagosome	0.907789747704147	0.0909090909090909
CD8-Naive:NLR:Ribosome	CD8-Naive	NLR	Ribosome	-3.19866721107579	-0.3
CD8-Naive:NLR:T cell receptor signaling pathway	CD8-Naive	NLR	T cell receptor signaling pathway	1.70629301258703	0.181818181818182
CD8-Naive:NLR:Tight junction	CD8-Naive	NLR	Tight junction	0.883935208100722	0.0909090909090909
CD8-Naive:NR:Cellular senescence	CD8-Naive	NR	Cellular senescence	-1.26921329101449	-0.25
CD8-Naive:NR:Oxytocin signaling pathway	CD8-Naive	NR	Oxytocin signaling pathway	0.77094007754315	0.166666666666667
CD8-Naive:NR:mRNA surveillance pathway	CD8-Naive	NR	mRNA surveillance pathway	0.77094007754315	0.166666666666667
